input_identifier,resolved_identifier,record_type,name,latitude_dd,longitude_dd,country,state,city,source_dataset,nasr_cycle_date,appears_in,source_url,notes
BLUFI,BLUFI,Fix / reporting point / waypoint,,26.89385,-79.83140555,US,FL,,FIX,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER LOW,ENROUTE LOW,STAR"
BNA,BNA,Airport / landing facility,NASHVILLE INTL,36.124475,-86.67818055,US,TN,NASHVILLE,APT,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
BNA,BNA,Navigation aid,NASHVILLE,36.13696036,-86.68477116,US,TN,NASHVILLE,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_RESTRICTED
BOS,BOS,Airport / landing facility,GENERAL EDWARD LAWRENCE LOGAN INTL,42.36294444,-71.00638888,US,MA,BOSTON,APT,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
BOS,BOS,Navigation aid,BOSTON,42.35744991,-70.98954838,US,MA,BOSTON,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VOR/DME; status=OPERATIONAL_RESTRICTED
BOS,BOS,Navigation aid,BOSTON,42.35704536,-70.99016872,US,MA,BOSTON,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VOT; status=OPERATIONAL_IFR
BRIGS,BRIGS,Fix / reporting point / waypoint,,39.52353333,-74.13879722,US,NJ,,FIX,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,MILITARY SID,SECTIONAL,STAR"
BROMO,BROMO,Fix / reporting point / waypoint,,28.01063333,-82.71735833,US,FL,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,STAR"
BTG,BTG,Navigation aid,BATTLE GROUND,45.74781102,-122.59153655,US,WA,BATTLE GROUND,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_RESTRICTED
BUFFE,BUFFE,Fix / reporting point / waypoint,,38.39093333,-89.66838055,US,IL,,FIX,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=IAP,MILITARY IAP"
